Normal Costs,CUDA Costs,CUDA Cost Diff,Normal Removal,CUDA Removal,Memmove Removal,CUDA Removal Diff,Memmove Removal Diff
48,11,37,39,129,4,90,+AC0-35
48,11,37,13,44,2,31,+AC0-11
48,10,38,16,55,3,39,+AC0-13
47,11,36,44,147,4,103,+AC0-40
48,11,37,8,28,2,20,+AC0-6
48,10,38,34,115,4,81,+AC0-30
48,11,37,11,37,2,26,+AC0-9
49,11,38,23,78,3,55,+AC0-20
48,10,38,16,53,3,37,+AC0-13
48,11,37,31,105,3,74,+AC0-28
47,11,36,41,133,3,92,+AC0-38
48,11,37,9,9,2,0,+AC0-7
47,10,37,2,31,2,29,0
49,11,38,35,118,3,83,+AC0-32
47,10,37,11,40,2,29,+AC0-9
48,10,38,28,92,3,64,+AC0-25
48,11,37,16,56,2,40,+AC0-14
48,10,38,32,108,3,76,+AC0-29
48,10,38,1,8,2,7,1
48,11,37,13,46,2,33,+AC0-11
48,10,38,8,28,2,20,+AC0-6
48,10,38,46,155,4,109,+AC0-42
48,10,38,17,59,2,42,+AC0-15
48,10,38,43,143,3,100,+AC0-40
47,10,37,29,100,3,71,+AC0-26
48,10,38,33,112,3,79,+AC0-30
47,11,36,3,66,2,63,+AC0-1
48,10,38,19,85,3,66,+AC0-16
48,11,37,25,36,2,11,+AC0-23
49,10,39,11,9,1,+AC0-2,+AC0-10
48,10,38,18,63,3,45,+AC0-15
48,11,37,34,119,3,85,+AC0-31
47,11,36,13,46,2,33,+AC0-11
48,10,38,27,93,3,66,+AC0-24
48,10,38,31,106,3,75,+AC0-28
47,10,37,46,157,3,111,+AC0-43
48,10,38,44,150,4,106,+AC0-40
47,11,36,9,29,2,20,+AC0-7
47,11,36,28,95,3,67,+AC0-25
47,10,37,4,13,2,9,+AC0-2
48,11,37,15,50,3,35,+AC0-12
47,11,36,40,134,3,94,+AC0-37
47,10,37,34,117,4,83,+AC0-30
49,11,38,19,62,2,43,+AC0-17
48,11,37,11,41,2,30,+AC0-9
47,10,37,7,25,2,18,+AC0-5
47,11,36,13,43,2,30,+AC0-11
56,11,45,1,4,2,3,1
50,10,40,26,87,3,61,+AC0-23
47,11,36,19,64,3,45,+AC0-16
47,10,37,46,151,4,105,+AC0-42
47,10,37,8,30,2,22,+AC0-6
47,11,36,12,42,2,30,+AC0-10
47,11,36,25,84,3,59,+AC0-22
46,11,35,2,6,2,4,0
47,11,36,37,122,4,85,+AC0-33
46,11,35,10,36,2,26,+AC0-8
47,10,37,16,57,2,41,+AC0-14
47,8,39,35,115,3,80,+AC0-32
46,8,38,39,132,4,93,+AC0-35
46,9,37,29,98,3,69,+AC0-26
47,11,36,9,27,2,18,+AC0-7
46,11,35,32,106,3,74,+AC0-29
46,11,35,13,48,2,35,+AC0-11
46,11,35,43,141,4,98,+AC0-39
46,10,36,33,107,4,74,+AC0-29
46,11,35,16,8,2,+AC0-8,+AC0-14
46,11,35,2,56,2,54,0
47,10,37,29,97,4,68,+AC0-25
46,7,39,26,87,3,61,+AC0-23
46,11,35,20,70,3,50,+AC0-17
48,10,38,44,136,3,92,+AC0-41
50,10,40,14,46,3,32,+AC0-11
49,11,38,39,115,3,76,+AC0-36
49,10,39,29,93,2,64,+AC0-27
49,11,38,9,28,2,19,+AC0-7
45,11,34,24,84,3,60,+AC0-21
51,11,40,13,43,2,30,+AC0-11
46,10,36,16,56,3,40,+AC0-13
46,11,35,31,102,3,71,+AC0-28
46,10,36,35,12,1,+AC0-23,+AC0-34
46,10,36,4,117,3,113,+AC0-1
45,11,34,8,31,2,23,+AC0-6
48,10,38,20,63,2,43,+AC0-18
52,10,42,34,110,3,76,+AC0-31
50,10,40,46,151,4,105,+AC0-42
47,10,37,43,145,3,102,+AC0-40
45,10,35,26,86,3,60,+AC0-23
46,11,35,11,36,2,25,+AC0-9
47,11,36,27,11,1,+AC0-16,+AC0-26
47,10,37,3,90,3,87,0
47,11,36,38,123,3,85,+AC0-35
48,11,37,7,25,2,18,+AC0-5
45,10,35,12,42,3,30,+AC0-9
46,11,35,18,62,3,44,+AC0-15
46,11,35,14,49,2,35,+AC0-12
46,10,36,30,102,3,72,+AC0-27
45,11,34,21,72,3,51,+AC0-18
47,11,36,2,5,1,3,+AC0-1
47,10,37,40,131,4,91,+AC0-36
45,11,34,7,27,2,20,+AC0-5
45,11,34,34,114,3,80,+AC0-31
45,10,35,43,139,4,96,+AC0-39
46,10,36,12,42,2,30,+AC0-10
46,11,35,24,81,2,57,+AC0-22
48,10,38,29,97,4,68,+AC0-25
45,11,34,3,13,2,10,+AC0-1
45,11,34,31,107,3,76,+AC0-28
45,10,35,24,83,2,59,+AC0-22
45,11,34,16,55,3,39,+AC0-13
46,11,35,33,111,3,78,+AC0-30
46,10,36,10,35,3,25,+AC0-7
46,11,35,3,8,2,5,+AC0-1
49,11,38,27,89,3,62,+AC0-24
48,10,38,37,124,4,87,+AC0-33
44,11,33,8,29,2,21,+AC0-6
45,11,34,44,147,4,103,+AC0-40
45,10,35,30,97,3,67,+AC0-27
45,11,34,13,45,3,32,+AC0-10
46,11,35,17,57,2,40,+AC0-15
46,10,36,43,139,3,96,+AC0-40
46,10,36,23,76,3,53,+AC0-20
44,11,33,32,107,3,75,+AC0-29
45,11,34,12,42,2,30,+AC0-10
45,11,34,39,130,4,91,+AC0-35
45,11,34,13,46,2,33,+AC0-11
46,11,35,37,113,3,76,+AC0-34
46,10,36,8,28,3,20,+AC0-5
44,11,33,26,87,3,61,+AC0-23
44,11,33,4,10,2,6,+AC0-2
44,11,33,30,98,3,68,+AC0-27
45,10,35,16,55,3,39,+AC0-13
45,10,35,10,36,2,26,+AC0-8
45,10,35,16,145,4,129,+AC0-12
44,11,33,24,57,3,33,+AC0-21
46,10,36,13,83,2,70,+AC0-11
